id,alias,name,image_url,is_closed,url,review_count,rating,price,phone,display_phone,categories_alias,categories_title,address,longitude,latitude
xvLbkQF98jMz94fsPMB_IA,shujinko-melbourne,Shujinko,https://s3-media2.fl.yelpcdn.com/bphoto/fdlo94Gz3rU9In1-frt0xw/o.jpg,False,https://www.yelp.com/biz/shujinko-melbourne?adjust_creative=-fKRk7dFCz1AqtDZnMHNwg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-fKRk7dFCz1AqtDZnMHNwg,22,4.5,$$,+61396540989,+61 3 9654 0989,japanese,Japanese,"225 Russell St, Melbourne Victoria 3000, Australia",144.967285,-37.811265
uRsQ8YnRa4-7lNqf5LGzIA,taxi-kitchen-melbourne,Taxi Kitchen,https://s3-media1.fl.yelpcdn.com/bphoto/pSzTMMzzujrHs-uDbEY4lA/o.jpg,False,https://www.yelp.com/biz/taxi-kitchen-melbourne?adjust_creative=-fKRk7dFCz1AqtDZnMHNwg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-fKRk7dFCz1AqtDZnMHNwg,35,4.0,$$$,+61396548808,+61 3 9654 8808,"gluten_free, modern_european, japanese","Gluten-Free, Modern European, Japanese","Level 1, Transport Hotel, Federation Square, Melbourne Victoria 3000, Australia",144.968322515488,-37.818446244463
5lY-63uqXyRTGVmpqqlIEA,kenzan-japanese-restaurant-melbourne-3,Kenzan Japanese Restaurant,https://s3-media4.fl.yelpcdn.com/bphoto/w4JPEQHgNsMf2LOi-hJ-3w/o.jpg,False,https://www.yelp.com/biz/kenzan-japanese-restaurant-melbourne-3?adjust_creative=-fKRk7dFCz1AqtDZnMHNwg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-fKRk7dFCz1AqtDZnMHNwg,22,4.5,$$$$,+61396548933,+61 3 9654 8933,"sushi, japanese","Sushi Bars, Japanese","Collins Place, Melbourne Victoria 3000, Australia",144.972294,-37.814208
SU6NGqIzC7S4pMDQeqamig,kong-melbourne-3,Kong,https://s3-media2.fl.yelpcdn.com/bphoto/_hW-JGdq1QwodiVrkPwrbA/o.jpg,False,https://www.yelp.com/biz/kong-melbourne-3?adjust_creative=-fKRk7dFCz1AqtDZnMHNwg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-fKRk7dFCz1AqtDZnMHNwg,25,4.0,$$,+61394271307,+61 3 9427 1307,"korean, japanese","Korean, Japanese","599 Church St, Melbourne Victoria 3121, Australia",144.996913,-37.8318
dOvCXIxoZHjW-fyl0N2okQ,gyoza-douraku-melbourne,Gyoza Douraku,https://s3-media2.fl.yelpcdn.com/bphoto/bqZyEwifSQKdPHF058sjzA/o.jpg,False,https://www.yelp.com/biz/gyoza-douraku-melbourne?adjust_creative=-fKRk7dFCz1AqtDZnMHNwg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-fKRk7dFCz1AqtDZnMHNwg,21,4.0,$$,+61396505225,+61 3 9650 5225,izakaya,Izakaya,"147 Bourke St, Melbourne Victoria 3000, Australia",144.968863,-37.812712
6B8s7V-PnF8za6tPaj0b2A,yamato-japanese-restaurant-melbourne-2,Yamato Japanese Restaurant,https://s3-media2.fl.yelpcdn.com/bphoto/R80fUuMbe3UWtQ7OA03law/o.jpg,False,https://www.yelp.com/biz/yamato-japanese-restaurant-melbourne-2?adjust_creative=-fKRk7dFCz1AqtDZnMHNwg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-fKRk7dFCz1AqtDZnMHNwg,29,4.0,$$,+61396631706,+61 3 9663 1706,japanese,Japanese,"28 Corrs Ln, Melbourne Victoria 3000, Australia",144.968194,-37.810938
QEJF5C_O9xuOjgMAv0AJ0Q,don-don-australia-melbourne-2,Don Don Australia,https://s3-media3.fl.yelpcdn.com/bphoto/tXCuAosFL8Pg9QC_PtPtRw/o.jpg,False,https://www.yelp.com/biz/don-don-australia-melbourne-2?adjust_creative=-fKRk7dFCz1AqtDZnMHNwg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-fKRk7dFCz1AqtDZnMHNwg,41,3.5,$,+61396707113,+61 3 9670 7113,japanese,Japanese,"340 Little Lonsdale St, Melbourne Victoria 3000, Australia",144.963616,-37.810678
VfRvZehaGmhRfcIBTUfQjw,the-dojo-ramen-bar-northcote,The Dojo Ramen Bar,https://s3-media3.fl.yelpcdn.com/bphoto/cLxV_CdZaIWcBoz8kub0BQ/o.jpg,False,https://www.yelp.com/biz/the-dojo-ramen-bar-northcote?adjust_creative=-fKRk7dFCz1AqtDZnMHNwg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-fKRk7dFCz1AqtDZnMHNwg,12,4.5,$$,+61394821247,+61 3 9482 1247,japanese,Japanese,"333 High St, Northcote Victoria 3070, Australia",144.99853,-37.77067
diaONu4BCFPAfSGBP6Mpgg,tokyo-tina-melbourne,Tokyo Tina,https://s3-media3.fl.yelpcdn.com/bphoto/hTF--YD-gskVKv-UbT6lOA/o.jpg,False,https://www.yelp.com/biz/tokyo-tina-melbourne?adjust_creative=-fKRk7dFCz1AqtDZnMHNwg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-fKRk7dFCz1AqtDZnMHNwg,16,4.5,$$,+61395252774,+61 3 9525 2774,japanese,Japanese,"66a Chapel St, Melbourne Victoria 3181, Australia",144.992939,-37.855441
kFshRGgvSFVCdmZQ4lnoww,gypsy-and-pig-melbourne,Gypsy & Pig,https://s3-media2.fl.yelpcdn.com/bphoto/-_GriyhOoHRAtnT-HezmAw/o.jpg,False,https://www.yelp.com/biz/gypsy-and-pig-melbourne?adjust_creative=-fKRk7dFCz1AqtDZnMHNwg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-fKRk7dFCz1AqtDZnMHNwg,14,4.5,$$,+61396400731,+61 3 9640 0731,japanese,Japanese,"391 Little Lonsdale St, Shop 3, Melbourne Victoria 3000, Australia",144.960303,-37.811837
jR6SynsdjXVjv_75ZE_SIQ,cibi-collingwood,Cibi,https://s3-media3.fl.yelpcdn.com/bphoto/V8ubuyrV5j5FbE0LtqHakg/o.jpg,False,https://www.yelp.com/biz/cibi-collingwood?adjust_creative=-fKRk7dFCz1AqtDZnMHNwg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-fKRk7dFCz1AqtDZnMHNwg,11,4.5,$$,+61390773941,+61 3 9077 3941,"japanese, coffee","Japanese, Coffee & Tea","45 Keele St, Collingwood Victoria 3066, Australia",144.986428,-37.797136
URaP7fR9_vwrKDjVIl4Qxg,peko-peko-south-melbourne,Peko Peko,https://s3-media3.fl.yelpcdn.com/bphoto/tW64fA5XwWYmxFw6fVQlIw/o.jpg,False,https://www.yelp.com/biz/peko-peko-south-melbourne?adjust_creative=-fKRk7dFCz1AqtDZnMHNwg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-fKRk7dFCz1AqtDZnMHNwg,23,4.0,$$,+61396861109,+61 3 9686 1109,"taiwanese, japanese","Taiwanese, Japanese","190 Wells St, South Melbourne Victoria 3205, Australia",144.969697,-37.831894
tZDZSSL3t_cz4O2qqeWQaA,ikkoryu-fukuoka-ramen-melbourne,Ikkoryu Fukuoka Ramen,https://s3-media2.fl.yelpcdn.com/bphoto/RPNzvZ0UVbvuWQGeqdMd2A/o.jpg,False,https://www.yelp.com/biz/ikkoryu-fukuoka-ramen-melbourne?adjust_creative=-fKRk7dFCz1AqtDZnMHNwg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-fKRk7dFCz1AqtDZnMHNwg,20,4.0,$$,+61396503708,+61 3 9650 3708,japanese,Japanese,"27 Russell St, Melbourne Victoria 3000, Australia",144.969554,-37.81585
o8cWqeW9_RtP2wVeL3lMcg,calia-melbourne,Calia,https://s3-media4.fl.yelpcdn.com/bphoto/d_GtdN4RLhDSvjHeYK7QsQ/o.jpg,False,https://www.yelp.com/biz/calia-melbourne?adjust_creative=-fKRk7dFCz1AqtDZnMHNwg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-fKRk7dFCz1AqtDZnMHNwg,14,4.5,$$,+61396621688,+61 3 9662 1688,"japanese, cafes, gourmet","Japanese, Cafes, Specialty Food","Shop 8, Level 3, 287 Lonsdale St, Melbourne Victoria 3000, Australia",144.963862250497,-37.8128093901021
bc83oNDZ56_jC2l15g05jA,kisumé-melbourne,Kisumé,https://s3-media2.fl.yelpcdn.com/bphoto/1pH5_cvhchKvaJ-LEnmIjg/o.jpg,False,https://www.yelp.com/biz/kisum%C3%A9-melbourne?adjust_creative=-fKRk7dFCz1AqtDZnMHNwg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-fKRk7dFCz1AqtDZnMHNwg,20,4.0,$$$$,+61396714888,+61 3 9671 4888,"japanese, sushi, bars","Japanese, Sushi Bars, Bars","175 Flinders Lane, Melbourne Victoria 3000, Australia",144.96866,-37.81612
v0oCFnYf2L8VtE--EbSgYQ,saké-melbourne,Saké,https://s3-media2.fl.yelpcdn.com/bphoto/NIplYZ1caVgnwHj1_lvdow/o.jpg,False,https://www.yelp.com/biz/sak%C3%A9-melbourne?adjust_creative=-fKRk7dFCz1AqtDZnMHNwg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-fKRk7dFCz1AqtDZnMHNwg,29,4.0,$$$,+61386870775,+61 3 8687 0775,"japanese, cocktailbars","Japanese, Cocktail Bars","Hamer Hall, Arts Centre Melbourne, 100 St Kilda Road, Melbourne Victoria 3004, Australia",144.96776662314,-37.8198913500938
WP2IIh29Y3-s_egdnv-GmA,sushi-hotaru-melbourne-2,Sushi Hotaru,https://s3-media2.fl.yelpcdn.com/bphoto/RixbKeSc_JYgj9NtyUKYuw/o.jpg,False,https://www.yelp.com/biz/sushi-hotaru-melbourne-2?adjust_creative=-fKRk7dFCz1AqtDZnMHNwg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-fKRk7dFCz1AqtDZnMHNwg,19,4.0,$$,+61396637756,+61 3 9663 7756,japanese,Japanese,"Shop 118, MidCity Arcade, 200 Bourke St, Melbourne Victoria 3000, Australia",144.967377,-37.812801
N7GWWQEg-dBUgkc2xlMh2w,shimbashi-soba-and-sake-bar-melbourne-2,Shimbashi Soba & Sake Bar,https://s3-media4.fl.yelpcdn.com/bphoto/JX5mkWMyuIYZNHdKtaDsIg/o.jpg,False,https://www.yelp.com/biz/shimbashi-soba-and-sake-bar-melbourne-2?adjust_creative=-fKRk7dFCz1AqtDZnMHNwg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-fKRk7dFCz1AqtDZnMHNwg,16,4.0,$$,+61396546727,+61 3 9654 6727,"japanese, bars","Japanese, Bars","17 Liverpool St, Melbourne Victoria 3000, Australia",144.971264,-37.811326
7FbyrEfy8cavRwCztCCBmQ,ichi-ichi-ku-izakaya-south-yarra,Ichi Ichi Ku Izakaya,https://s3-media4.fl.yelpcdn.com/bphoto/X19U-zGG0V48esxo8eUt-w/o.jpg,False,https://www.yelp.com/biz/ichi-ichi-ku-izakaya-south-yarra?adjust_creative=-fKRk7dFCz1AqtDZnMHNwg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-fKRk7dFCz1AqtDZnMHNwg,12,4.5,$$,+61398209119,+61 3 9820 9119,"japanese, bars, sushi","Japanese, Bars, Sushi Bars","119 Park St, South Yarra Victoria 3141, Australia",144.98235,-37.834407
bT_aM8EnCr7u5dfr-3CYzQ,ishiya-stone-grill-melbourne-2,Ishiya Stone Grill,https://s3-media2.fl.yelpcdn.com/bphoto/ltRZee_04Exb26DwzUC-fg/o.jpg,False,https://www.yelp.com/biz/ishiya-stone-grill-melbourne-2?adjust_creative=-fKRk7dFCz1AqtDZnMHNwg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-fKRk7dFCz1AqtDZnMHNwg,11,4.5,$$,+6196509510,+61 96509510,"sushi, japanese, steak","Sushi Bars, Japanese, Steakhouses","152 Little Bourke St, Melbourne Victoria 3000, Australia",144.96796,-37.81134
hEApMPpmf4zgEEEsmoxbrw,ocha-hawthorn-2,Ocha,https://s3-media1.fl.yelpcdn.com/bphoto/6JjIqSD7_9ZeXo4nOt7c7w/o.jpg,False,https://www.yelp.com/biz/ocha-hawthorn-2?adjust_creative=-fKRk7dFCz1AqtDZnMHNwg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-fKRk7dFCz1AqtDZnMHNwg,11,4.5,$$$$,+61398536002,+61 3 9853 6002,japanese,Japanese,"3 Church St, Hawthorn Victoria 3122, Australia",145.023438,-37.813381
zTyuFvUjLNPicibF-_XrbQ,pepper-lunch-melbourne,Pepper Lunch,https://s3-media3.fl.yelpcdn.com/bphoto/mcCDWXIRxSbBo52W0XwvLQ/o.jpg,False,https://www.yelp.com/biz/pepper-lunch-melbourne?adjust_creative=-fKRk7dFCz1AqtDZnMHNwg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-fKRk7dFCz1AqtDZnMHNwg,18,4.0,$$,+61390786388,+61 3 9078 6388,japanese,Japanese,"311 Elizabeth St, Melbourne Victoria 3000, Australia",144.961767,-37.811422
2fLjcDXoX8h2DZeN3l__6A,japanese-teppanyaki-inn-melbourne-2,Japanese Teppanyaki Inn,https://s3-media4.fl.yelpcdn.com/bphoto/FCzM_4GxOw82K5RW17c4xg/o.jpg,False,https://www.yelp.com/biz/japanese-teppanyaki-inn-melbourne-2?adjust_creative=-fKRk7dFCz1AqtDZnMHNwg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-fKRk7dFCz1AqtDZnMHNwg,8,4.5,$$$,+61396509431,+61 3 9650 9431,"japanese, seafood","Japanese, Seafood","182 Collins St, Melbourne Victoria 3000, Australia",144.967507,-37.814987
ehIF36RN5dgRyMBZjYtuLg,yokoso-izakaya-moonee-ponds,Yokoso Izakaya,https://s3-media1.fl.yelpcdn.com/bphoto/EwzhD8avoxkrulPH2aLrbw/o.jpg,False,https://www.yelp.com/biz/yokoso-izakaya-moonee-ponds?adjust_creative=-fKRk7dFCz1AqtDZnMHNwg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-fKRk7dFCz1AqtDZnMHNwg,11,4.5,$$,+61393728702,+61 3 9372 8702,japanese,Japanese,"702 Mt Alexander Rd, Moonee Ponds Victoria 3039, Australia",144.925413,-37.768564
IejuUR202tKWCjPjbAVCOg,torasan-ramen-melbourne,Torasan Ramen,https://s3-media4.fl.yelpcdn.com/bphoto/1FRpR7_FsLj3f_x69DAn0Q/o.jpg,False,https://www.yelp.com/biz/torasan-ramen-melbourne?adjust_creative=-fKRk7dFCz1AqtDZnMHNwg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-fKRk7dFCz1AqtDZnMHNwg,18,4.0,$,+61393288928,+61 3 9328 8928,ramen,Ramen,"410 Elizabeth St, Melbourne Victoria 3000, Australia",144.96102,-37.80898
DRRf93iYUf3w_rzK7nQv_Q,samurai-hawthorn,Samurai,https://s3-media2.fl.yelpcdn.com/bphoto/tXpeJ0X33y3ZacLHlbA_Tw/o.jpg,False,https://www.yelp.com/biz/samurai-hawthorn?adjust_creative=-fKRk7dFCz1AqtDZnMHNwg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-fKRk7dFCz1AqtDZnMHNwg,13,4.0,$,+61398194858,+61 3 9819 4858,"japanese, sushi","Japanese, Sushi Bars","804 Glenferrie Rd, Hawthorn Victoria 3122, Australia",145.036432,-37.817658
x1lRZqy5AUuTkoNaOiIOww,don-tojo-melbourne,Don Tojo,https://s3-media4.fl.yelpcdn.com/bphoto/ykzzbr6WBC6_tyt7puhxfw/o.jpg,False,https://www.yelp.com/biz/don-tojo-melbourne?adjust_creative=-fKRk7dFCz1AqtDZnMHNwg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-fKRk7dFCz1AqtDZnMHNwg,14,4.0,$,+61393475041,+61 3 9347 5041,japanese,Japanese,"164 Cardigan St, Melbourne Victoria 3000, Australia",144.965504,-37.801382
Oq6czr7Rf2T5S8RKxkWA9Q,sakura-kaiten-sushi-ii-melbourne,Sakura Kaiten Sushi II,https://s3-media2.fl.yelpcdn.com/bphoto/EIGCoKkGdbSAGw2NJhAwnA/o.jpg,False,https://www.yelp.com/biz/sakura-kaiten-sushi-ii-melbourne?adjust_creative=-fKRk7dFCz1AqtDZnMHNwg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-fKRk7dFCz1AqtDZnMHNwg,10,4.5,$$$,+61390771167,+61 3 9077 1167,"sushi, japanese","Sushi Bars, Japanese","282 Lonsdale St, Melbourne Victoria 3000, Australia",144.964037,-37.81162
QtofzkK6Pt0GjPbM-2B5Hg,shoya-japanese-restaurant-melbourne-2,Shoya Japanese Restaurant,https://s3-media1.fl.yelpcdn.com/bphoto/J74fpyQs7cdWC0YryLmKoQ/o.jpg,False,https://www.yelp.com/biz/shoya-japanese-restaurant-melbourne-2?adjust_creative=-fKRk7dFCz1AqtDZnMHNwg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-fKRk7dFCz1AqtDZnMHNwg,16,4.0,$$$$,+61396500848,+61 3 9650 0848,"sushi, japanese","Sushi Bars, Japanese","25 Market Lane, Melbourne Victoria 3000, Australia",144.969175,-37.811726
_lhK75z0IJSD6cuI3pdAbQ,shira-nui-glen-waverley,Shira Nui,https://s3-media2.fl.yelpcdn.com/bphoto/YKdU8ttm8AqBYwgxmN1koA/o.jpg,False,https://www.yelp.com/biz/shira-nui-glen-waverley?adjust_creative=-fKRk7dFCz1AqtDZnMHNwg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-fKRk7dFCz1AqtDZnMHNwg,11,4.0,$$$$,+61398867755,+61 3 9886 7755,japanese,Japanese,"247 Springvale Rd, Glen Waverley Victoria 3150, Australia",145.165673,-37.878744
z8ZbqFiXIaLbgoNG74WTLQ,kanpai-japanese-restaurant-south-yarra,Kanpai Japanese Restaurant,https://s3-media2.fl.yelpcdn.com/bphoto/PeQIrFAVO-aRK5aBGBO1Fg/o.jpg,False,https://www.yelp.com/biz/kanpai-japanese-restaurant-south-yarra?adjust_creative=-fKRk7dFCz1AqtDZnMHNwg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-fKRk7dFCz1AqtDZnMHNwg,11,4.0,$$,+61398274379,+61 3 9827 4379,"japanese, sushi","Japanese, Sushi Bars","569 Chapel St, South Yarra Victoria 3141, Australia",144.995296,-37.840537
7q-BuMNeexl4WDFjSgVEpw,yamato-melbourne-2,Yamato,https://s3-media2.fl.yelpcdn.com/bphoto/lDbDmYlcZ1kTo7Kp4GzdRw/o.jpg,False,https://www.yelp.com/biz/yamato-melbourne-2?adjust_creative=-fKRk7dFCz1AqtDZnMHNwg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-fKRk7dFCz1AqtDZnMHNwg,8,4.5,$,+61396631707,+61 3 9663 1707,japanese,Japanese,"223 Exhibition St, Melbourne Victoria 3000, Australia",144.969698,-37.810525
dWAwWK1pYY9oMZW4M0HB8A,mr-miyagi-windsor,Mr Miyagi,https://s3-media1.fl.yelpcdn.com/bphoto/XizNP3iT53KGeIDXzlNufQ/o.jpg,False,https://www.yelp.com/biz/mr-miyagi-windsor?adjust_creative=-fKRk7dFCz1AqtDZnMHNwg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-fKRk7dFCz1AqtDZnMHNwg,32,3.5,$$,+61395295999,+61 3 9529 5999,japanese,Japanese,"99 Chapel St, Windsor Victoria 3181, Australia",144.992705,-37.854219
riOTHcO27CVcllkjlhbuVA,kumo-izakaya-and-sake-bar-brunswick-east,Kumo Izakaya & Sake Bar,https://s3-media3.fl.yelpcdn.com/bphoto/t8nS8nvNZFKukvcxP8Jrhw/o.jpg,False,https://www.yelp.com/biz/kumo-izakaya-and-sake-bar-brunswick-east?adjust_creative=-fKRk7dFCz1AqtDZnMHNwg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-fKRk7dFCz1AqtDZnMHNwg,13,4.0,$$,+61393881505,+61 3 9388 1505,"japanese, bars","Japanese, Bars","152 Lygon St, Brunswick East Victoria 3057, Australia",144.971523,-37.773521
F-F20QJHyPMu3rh7cW4MVg,hihou-melbourne,Hihou,https://s3-media1.fl.yelpcdn.com/bphoto/HFcS0GfgEda3_n3FH7Ui3Q/o.jpg,False,https://www.yelp.com/biz/hihou-melbourne?adjust_creative=-fKRk7dFCz1AqtDZnMHNwg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-fKRk7dFCz1AqtDZnMHNwg,13,4.0,$$$,+61396545465,+61 3 9654 5465,"japanese, bars","Japanese, Bars","Level 1, Melbourne Victoria 3000, Australia",144.974087038029,-37.8144279515768
B0S18Tmqy2maw0q7ssLpFg,minamishima-richmond,Minamishima,https://s3-media2.fl.yelpcdn.com/bphoto/NUNxiZET2hZ8a5LDrguXaw/o.jpg,False,https://www.yelp.com/biz/minamishima-richmond?adjust_creative=-fKRk7dFCz1AqtDZnMHNwg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-fKRk7dFCz1AqtDZnMHNwg,9,4.5,$$$$,+61394295180,+61 3 9429 5180,japanese,Japanese,"4 Lord St, Richmond Victoria 3121, Australia",145.005053,-37.819667
